Sample,Datasize,QuickSelect Time,DeterministicSelect Time,QuickSortSelect Time,QuickSelect Partitioning Stages,DeterministicSelect Partitioning Stages,QuicksSortSelect Partitioning Stages
175,1000000,0.62,0.14,0.24,33,11449,1332761
176,1000000,0.63,0.14,0.24,19,11680,1333435
177,1000000,0.62,0.14,0.24,24,12406,1333597
178,1000000,0.65,0.14,0.24,23,12091,1333049
179,1000000,0.64,0.14,0.24,23,12910,1333525
180,1000000,0.64,0.14,0.24,16,12069,1333189
181,1000000,0.63,0.14,0.24,28,11889,1333309
182,1000000,0.63,0.14,0.24,37,11888,1333147
183,1000000,0.61,0.14,0.24,23,12263,1332823
184,1000000,0.63,0.14,0.24,26,12006,1332881
185,1000000,0.65,0.14,0.24,26,12526,1333823
186,1000000,0.64,0.14,0.24,20,12229,1333393
187,1000000,0.64,0.14,0.24,33,12096,1332987
188,1000000,0.61,0.14,0.24,25,12089,1333201
189,1000000,0.63,0.14,0.24,28,11920,1333539
190,1000000,0.66,0.14,0.24,22,12648,1333901
191,1000000,0.63,0.14,0.24,22,12017,1333845
192,1000000,0.64,0.14,0.24,34,11500,1333389
193,1000000,0.64,0.14,0.24,27,12349,1333585
194,1000000,0.63,0.14,0.24,30,12072,1333561
195,1000000,0.61,0.14,0.24,17,12340,1332815
196,1000000,0.63,0.14,0.24,24,11943,1333023
197,1000000,0.63,0.14,0.24,22,11931,1334163
198,1000000,0.64,0.14,0.24,25,11910,1333527
199,1000000,0.64,0.14,0.24,24,12487,1332943
200,1000000,0.64,0.14,0.24,25,11975,1333211
